country,week,cases,log_cum_cases,first_diff_log_cases,week_count
Lithuania,2,843042,13.644772057806971,0.10299727556198413,5
Lithuania,3,901787,13.712133629251998,0.06736157144502641,6
Lithuania,4,953098,13.76747301050782,0.05533938125582161,7
Lithuania,5,990997,13.806466786062336,0.03899377555451622,8
Lithuania,6,1029593,13.844674136484144,0.03820735042180878,9
Lithuania,7,1063327,13.876913229962327,0.03223909347818221,10
Lithuania,8,1093017,13.904452320560136,0.027539090597809235,11
Lithuania,9,1113808,13.923295332729975,0.018843012169838858,12
Lithuania,10,1127456,13.935474325207256,0.01217899247728127,13
Lithuania,11,1137471,13.944317934976757,0.00884360976950127,14
Lithuania,12,1144415,13.95040414737733,0.0060862124005733875,15
Lithuania,13,1149395,13.954746274950615,0.004342127573284671,16
Lithuania,14,1151312,13.956412719607524,0.0016664446569087943,17
Lithuania,15,1152528,13.957468348568668,0.0010556289611436398,18
Lithuania,16,1153586,13.958385909516851,9.175609481832936e-4,19
Lithuania,17,1154518,13.959193498820152,8.075893033012704e-4,20
Lithuania,18,1155399,13.959956296827803,7.627980076509999e-4,21
Lithuania,19,1156451,13.960866390538564,9.100937107611173e-4,22
Lithuania,20,1157689,13.961936334550684,0.0010699440121193504,23
Lithuania,21,1159413,13.96342440052113,0.001488065970447039,24
Lithuania,22,1161568,13.965281374463844,0.0018569739427132248,25
Lithuania,23,1164273,13.967607415856707,0.002326041392862521,26
Lithuania,24,1168585,13.97130417314811,0.0036967572914026192,27
Lithuania,25,1174481,13.976336905853618,0.005032732705508636,28
Lithuania,26,1181995,13.982714246820791,0.0063773409671732395,29
Lithuania,27,1190172,13.989608392458255,0.006894145637463822,30
Lithuania,28,1198747,13.99678740256977,0.007179010111515893,31
Lithuania,29,1207268,14.003870513543875,0.007083110974104301,32
Lithuania,30,1214484,14.009829853191846,0.005959339647970907,33
Lithuania,31,1219977,14.014342564072713,0.004512710880867132,34
Lithuania,32,1225478,14.018841529932782,0.0044989658600691484,35
Lithuania,33,1233862,14.025659645751405,0.006818115818623127,36
Lithuania,34,1242730,14.03282113048604,0.007161484734634627,37
Lithuania,35,1250158,14.038780501290677,0.005959370804637487,38
Lithuania,36,1256003,14.04344501454246,0.0046645132517824095,39
Lithuania,37,1260809,14.047264136385147,0.0038191218426870677,40
Lithuania,38,1264602,14.050268006133155,0.00300386974800837,41
Lithuania,39,1267507,14.052562537114671,0.0022945309815156634,42
Lithuania,40,1268707,14.053508829572285,9.462924576144616e-4,43
Lithuania,41,1271238,14.05550178677233,0.001992957200044998,44
Lithuania,42,1272774,14.056709328392923,0.001207541620592778,45
Lithuania,43,1274499,14.058063718176578,0.0013543897836552077,46
Lithuania,44,1277041,14.060056240998883,0.0019925228223041103,47
Lithuania,45,1280029,14.062393291889151,0.0023370508902686993,48
Lithuania,46,1282732,14.064502736353388,0.002109444464236887,49
Lithuania,47,512178,13.146427499853214,-0.9180752365001741,50
Lithuania,48,522351,13.166095054689015,0.019667554835800516,51
Lithuania,49,524427,13.170061516960438,0.003966462271423055,52
Luxembourg,-3,112203,11.628065009681194,NA,0
Luxembourg,-2,123340,11.722700048545484,0.09463503886428981,1
Luxembourg,-1,137570,11.831888157455042,0.10918810890955832,2
Luxembourg,0,153435,11.941032303559217,0.10914414610417467,3
Luxembourg,1,165958,12.01949002327754,0.0784577197183225,4
Luxembourg,2,173419,12.063465910566931,0.043975887289391835,5
Luxembourg,3,177372,12.086004501000073,0.022538590433141437,6
Luxembourg,4,181903,12.111228856948552,0.02522435594847927,7
Luxembourg,5,186360,12.135435565930733,0.024206708982180913,8
Luxembourg,6,191964,12.165063133429596,0.029627567498863527,9
Luxembourg,7,199202,12.202074664242875,0.037011530813279236,10
Luxembourg,8,208223,12.246364899762815,0.044290235519939714,11
